"","SampleID","Group","Type","Saline"
"1","1","IW","NE","Non-saline soil"
"2","2","IW","NE","Non-saline soil"
"3","3","IW","NE","Non-saline soil"
"4","4","IW","NE","Non-saline soil"
"5","5","IW","NE","Non-saline soil"
"6","6","IW","NE","Non-saline soil"
"7","7","IW","NE","Non-saline soil"
"9","9","IW","NE","Non-saline soil"
"10","10","IW","NE","Non-saline soil"
"11","11","IW","NE","Non-saline soil"
"12","12","IW","NE","Non-saline soil"
"13","13","IW","NE","Non-saline soil"
"15","15","IW","NW","Non-saline soil"
"16","16","IW","NW","Non-saline soil"
"17","17","IW","NW","Non-saline soil"
"18","18","IW","NW","Non-saline soil"
"19","19","IW","NW","Non-saline soil"
"20","20","IW","NW","Non-saline soil"
"22","22","IW","NE","Non-saline soil"
"23","23","IW","NE","Non-saline soil"
"24","24","IW","NE","Non-saline soil"
"25","25","IW","NE","Non-saline soil"
"26","26","IW","NE","Non-saline soil"
"27","27","IW","NE","Non-saline soil"
"28","28","IW","NE","Non-saline soil"
"30","30","IW","NE","Non-saline soil"
"34","34","IW","NE","Non-saline soil"
"35","35","IW","NE","Non-saline soil"
"36","36","IW","NE","Non-saline soil"
"37","37","IW","NE","Non-saline soil"
"38","38","IW","NE","Non-saline soil"
"39","39","IW","NE","Non-saline soil"
"40","40","IW","NE","Non-saline soil"
"41","41","IW","NE","Non-saline soil"
"42","42","IW","NE","Non-saline soil"
"43","43","IW","NE","Non-saline soil"
"44","44","IW","NE","Non-saline soil"
"45","45","IW","NE","Non-saline soil"
"46","46","IW","NE","Non-saline soil"
"47","47","IW","NE","Non-saline soil"
"49","49","IW","NE","Non-saline soil"
"52","52","IW","NE","Non-saline soil"
"53","53","IW","NE","Non-saline soil"
"55","55","IW","NE","Non-saline soil"
"56","56","IW","NW","Non-saline soil"
"57","57","IW","NW","Non-saline soil"
"58","58","IW","NW","Non-saline soil"
"59","59","IW","NW","Non-saline soil"
"66","66","IW","NW","Non-saline soil"
"68","68","IW","NW","Non-saline soil"
"69","69","IW","NW","Non-saline soil"
"71","71","IW","NC","Non-saline soil"
"73","73","IW","NC","Non-saline soil"
"74","74","IW","NC","Non-saline soil"
"75","75","IW","NC","Non-saline soil"
"76","76","IW","NC","Non-saline soil"
"77","77","IW","NC","Non-saline soil"
"78","78","IW","NC","Non-saline soil"
"79","79","IW","NC","Non-saline soil"
"80","80","IW","NW","Non-saline soil"
"81","81","IW","NW","Non-saline soil"
"82","82","IW","NW","Non-saline soil"
"83","83","IW","NW","Non-saline soil"
"84","84","IW","NW","Non-saline soil"
"90","90","IW","NW","Non-saline soil"
"92","92","IW","NW","Non-saline soil"
"93","93","IW","NW","Non-saline soil"
"94","94","IW","NW","Non-saline soil"
"95","95","IW","NW","Non-saline soil"
"96","96","IW","NW","Non-saline soil"
"97","97","IW","NW","Non-saline soil"
"99","99","IW","NW","Non-saline soil"
"101","101","IW","YML","Non-saline soil"
"102","102","IW","YML","Non-saline soil"
"103","103","IW","YML","Non-saline soil"
"104","104","IW","YML","Non-saline soil"
"105","105","IW","YML","Non-saline soil"
"106","106","IW","YML","Non-saline soil"
"108","108","IW","YML","Non-saline soil"
"109","109","IW","YML","Non-saline soil"
"110","110","IW","YML","Non-saline soil"
"111","111","IW","YML","Non-saline soil"
"117","117","IW","YML","Non-saline soil"
"118","118","IW","YML","Non-saline soil"
"119","119","IW","YU","Non-saline soil"
"120","120","IW","YU","Non-saline soil"
"121","121","IW","YU","Non-saline soil"
"122","122","IW","YU","Non-saline soil"
"124","124","IW","YU","Non-saline soil"
"125","125","IW","YU","Non-saline soil"
"126","126","IW","YU","Non-saline soil"
"127","127","IW","YU","Non-saline soil"
"128","128","IW","YU","Non-saline soil"
"129","129","IW","YU","Non-saline soil"
"130","130","IW","YU","Non-saline soil"
"131","131","IW","YU","Non-saline soil"
"132","132","IW","YU","Non-saline soil"
"133","133","IW","YU","Non-saline soil"
"134","134","IW","YU","Non-saline soil"
"135","135","IW","YU","Non-saline soil"
"136","136","IW","YU","Non-saline soil"
"137","137","IW","YU","Non-saline soil"
"138","138","IW","YU","Non-saline soil"
"139","139","IW","YML","Non-saline soil"
"140","140","IW","YML","Non-saline soil"
"141","141","IW","YML","Non-saline soil"
"144","144","IW","YML","Non-saline soil"
"145","145","IW","YML","Non-saline soil"
"146","146","IW","YML","Non-saline soil"
"147","147","IW","YML","Non-saline soil"
"148","148","IW","YML","Non-saline soil"
"151","151","IW","YU","Non-saline soil"
"152","152","IW","YU","Non-saline soil"
"153","153","IW","YU","Non-saline soil"
"154","154","IW","YU","Non-saline soil"
"155","155","IW","YU","Non-saline soil"
"156","156","IW","YU","Non-saline soil"
"158","158","IW","YU","Non-saline soil"
"159","159","IW","YU","Non-saline soil"
"160","160","IW","YU","Non-saline soil"
"61","61","CW","NC","Saline soil"
"62","62","CW","NC","Saline soil"
"63","63","CW","NC","Saline soil"
"65","65","CW","NC","Saline soil"
"85","85","CW","NC","Saline soil"
"86","86","CW","NC","Saline soil"
"87","87","CW","NC","Saline soil"
"88","88","CW","NC","Saline soil"
"89","89","CW","NC","Saline soil"
"112","112","CW","YML","Saline soil"
"113","113","CW","YML","Saline soil"
"114","114","CW","YML","Saline soil"
"161","161","CW","SC","Saline soil"
"162","162","CW","SC","Saline soil"
"164","164","CW","SC","Saline soil"
"165","165","CW","SC","Saline soil"
"166","166","CW","SC","Saline soil"
"167","167","CW","SC","Saline soil"
"168","168","CW","SC","Saline soil"
"169","169","CW","SC","Saline soil"
"170","170","CW","SC","Saline soil"
"171","171","CW","SC","Saline soil"
"172","172","CW","SC","Saline soil"
"173","173","CW","SC","Saline soil"
"174","174","CW","SC","Saline soil"
"175","175","CW","SC","Saline soil"
"176","176","CW","SC","Saline soil"
"177","177","CW","SC","Saline soil"
"179","179","CW","SC","Saline soil"
"182","182","CW","SC","Saline soil"
"183","183","CW","SC","Saline soil"
"185","185","CW","SC","Saline soil"
"186","186","CW","SC","Saline soil"
"187","187","TW","QTP","Saline soil"
"188","188","TW","QTP","Saline soil"
"191","191","TW","QTP","Saline soil"
"194","194","TW","QTP","Saline soil"
"196","196","TW","QTP","Saline soil"
"197","197","TW","QTP","Saline soil"
"198","198","TW","QTP","Saline soil"
"201","201","TW","QTP","Saline soil"
"202","202","TW","QTP","Saline soil"
"203","203","TW","QTP","Saline soil"
"204","204","TW","QTP","Saline soil"
"205","205","TW","QTP","Saline soil"
"206","206","TW","QTP","Saline soil"
"207","207","TW","QTP","Saline soil"
"208","208","TW","QTP","Saline soil"
"209","209","TW","QTP","Saline soil"
"210","210","TW","QTP","Saline soil"
"213","213","TW","QTP","Saline soil"
"214","214","TW","QTP","Saline soil"
"215","215","TW","QTP","Saline soil"
"216","216","TW","QTP","Saline soil"
"217","217","TW","QTP","Saline soil"
"218","218","TW","QTP","Saline soil"
"219","219","TW","QTP","Saline soil"
"220","220","TW","QTP","Saline soil"
"221","221","TW","QTP","Saline soil"
"222","222","TW","QTP","Saline soil"
"223","223","TW","QTP","Saline soil"
"224","224","TW","QTP","Saline soil"
"225","225","TW","QTP","Saline soil"
"226","226","TW","QTP","Saline soil"
"228","228","TW","QTP","Saline soil"
"233","233","TW","QTP","Saline soil"
"236","236","TW","QTP","Saline soil"
"238","238","TW","QTP","Saline soil"
"239","239","TW","QTP","Saline soil"
"240","240","TW","QTP","Saline soil"
"241","241","TW","QTP","Saline soil"
"242","242","TW","QTP","Saline soil"
"243","243","TW","QTP","Saline soil"
"244","244","TW","QTP","Saline soil"
"245","245","TW","QTP","Saline soil"
"246","246","TW","QTP","Saline soil"
"247","247","TW","QTP","Saline soil"
"249","249","TW","YU","Saline soil"
"250","250","TW","YU","Saline soil"
"252","252","TW","YU","Saline soil"
